                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3269,                 4.0637,                 4.0182,                0.00159,                0.12879,                0.00123,                0.00037,                 2.8323,                 5.6708,                 4.0089,               0.070492,              0.0032787,              0.0032787
                      2,                 3.0256,                 3.4577,                 3.5037,                0.00211,                 0.2736,                0.00305,                0.00062,                 2.9377,                 5.0095,                  3.875,               0.040448,              0.0065684,              0.0065684
                      3,                 2.4899,                 3.0079,                 2.9416,                0.08608,                0.21262,                0.05602,                0.02401,                 2.2628,                 5.7124,                 3.4003,               0.010361,              0.0098141,              0.0098141
                      4,                 1.9179,                 2.5485,                 2.4066,                0.10152,                0.28995,                0.07143,                0.03433,                 2.2362,                 7.6111,                 3.1322,               0.009802,               0.009802,               0.009802
                      5,                 1.5013,                 2.1571,                 2.0159,                0.19343,                0.66427,                 0.1986,                 0.1304,                 1.6012,                 2.9326,                 2.5158,               0.009802,               0.009802,               0.009802
                      6,                 1.2878,                 1.9268,                 1.8073,                0.18442,                0.77173,                0.20042,                0.12342,                 1.5759,                 2.5106,                 2.3463,               0.009736,               0.009736,               0.009736
                      7,                 1.1819,                 1.7946,                 1.6956,                0.18951,                 0.8222,                0.21765,                0.13561,                 1.4461,                 2.2756,                 2.3444,                0.00967,                0.00967,                0.00967
                      8,                 1.1182,                 1.7145,                 1.6244,                0.22092,                0.77544,                0.24099,                0.15086,                 1.4842,                 2.1934,                 2.2476,               0.009604,               0.009604,               0.009604
                      9,                 1.0682,                 1.6478,                 1.5777,                0.24081,                0.73271,                0.30741,                0.19038,                 1.3764,                 2.0254,                 2.1484,               0.009538,               0.009538,               0.009538
                     10,                  1.037,                 1.5979,                 1.5456,                0.23635,                0.76777,                0.28809,                0.18687,                 1.4198,                 2.1299,                 2.2603,               0.009472,               0.009472,               0.009472
                     11,                 1.0254,                 1.5689,                 1.5334,                 0.2404,                0.77305,                0.25233,                 0.1647,                 1.3904,                  2.005,                 2.1438,               0.009406,               0.009406,               0.009406
                     12,                0.99912,                 1.5307,                  1.511,                0.25546,                0.75099,                0.24964,                0.15582,                 1.3975,                 2.4396,                 2.1903,                0.00934,                0.00934,                0.00934
                     13,                0.97263,                 1.4892,                 1.4859,                0.25426,                0.71315,                0.35179,                0.22422,                 1.4128,                 1.7693,                 2.0556,               0.009274,               0.009274,               0.009274
                     14,                0.96711,                 1.4795,                 1.4766,                0.24441,                0.76934,                0.33948,                0.22994,                 1.4067,                 1.9431,                 2.1041,               0.009208,               0.009208,               0.009208
                     15,                0.94377,                 1.4473,                 1.4581,                 0.2557,                0.74488,                 0.3663,                0.23878,                 1.3197,                 1.7563,                  2.009,               0.009142,               0.009142,               0.009142
                     16,                0.93152,                   1.43,                 1.4453,                0.25917,                0.76989,                0.35514,                0.23569,                 1.3563,                 1.7764,                 1.9863,               0.009076,               0.009076,               0.009076
                     17,                0.92345,                 1.4124,                 1.4332,                0.27182,                0.69241,                0.31938,                0.22004,                 1.2809,                 2.0025,                 2.0072,                0.00901,                0.00901,                0.00901
                     18,                0.91429,                 1.3971,                 1.4189,                0.30559,                0.74189,                0.39197,                0.26366,                 1.2934,                 1.5127,                 1.9408,               0.008944,               0.008944,               0.008944
                     19,                0.90333,                 1.3868,                 1.4187,                0.28052,                0.70266,                0.37757,                  0.252,                 1.3436,                 1.6438,                 2.0352,               0.008878,               0.008878,               0.008878
                     20,                0.89758,                 1.3755,                 1.4012,                0.29666,                0.70915,                0.38206,                0.25701,                 1.2935,                 1.6736,                 1.9232,               0.008812,               0.008812,               0.008812
                     21,                0.88994,                 1.3568,                 1.3999,                0.29749,                0.79866,                 0.3858,                0.25887,                 1.2939,                 1.5649,                 1.9406,               0.008746,               0.008746,               0.008746
                     22,                0.88395,                 1.3486,                 1.3961,                0.31414,                0.74039,                0.39902,                0.26032,                 1.3084,                 1.5149,                 1.9625,                0.00868,                0.00868,                0.00868
                     23,                0.87386,                 1.3362,                 1.3817,                0.33696,                0.68118,                 0.4077,                0.27271,                 1.2861,                 1.5262,                 1.8893,               0.008614,               0.008614,               0.008614
                     24,                0.87621,                  1.333,                  1.388,                0.32166,                0.75318,                0.43531,                0.29696,                 1.2435,                  1.457,                 1.8828,               0.008548,               0.008548,               0.008548
                     25,                0.86754,                 1.3241,                 1.3737,                0.30965,                 0.7089,                0.39395,                0.26523,                 1.2687,                 1.6069,                  1.907,               0.008482,               0.008482,               0.008482
                     26,                0.86325,                 1.3092,                 1.3678,                0.32361,                0.68823,                0.41139,                0.27734,                 1.2988,                 1.5189,                 1.9264,               0.008416,               0.008416,               0.008416
                     27,                0.86227,                 1.2989,                 1.3661,                0.34815,                0.67545,                0.42735,                0.28806,                 1.3163,                 1.5863,                 1.9783,                0.00835,                0.00835,                0.00835
                     28,                 0.8509,                 1.2893,                 1.3593,                 0.3447,                0.69475,                0.44709,                0.30155,                 1.2498,                 1.5349,                 1.9264,               0.008284,               0.008284,               0.008284
                     29,                0.85656,                 1.2903,                 1.3619,                 0.3521,                0.66373,                0.44927,                0.30651,                  1.261,                 1.5318,                 1.9082,               0.008218,               0.008218,               0.008218
                     30,                0.84631,                 1.2774,                 1.3475,                0.34665,                0.67544,                0.46622,                0.31332,                  1.261,                 1.4941,                 1.9954,               0.008152,               0.008152,               0.008152
                     31,                 0.8397,                 1.2596,                  1.341,                0.36985,                0.63759,                0.45761,                0.31591,                 1.2535,                 1.7252,                  1.851,               0.008086,               0.008086,               0.008086
                     32,                0.85285,                  1.263,                 1.3482,                 0.3892,                0.69725,                0.50205,                0.33794,                 1.2844,                 1.3704,                 1.8882,                0.00802,                0.00802,                0.00802
                     33,                0.82745,                 1.2402,                 1.3336,                0.39298,                0.68157,                0.49483,                0.32857,                 1.3314,                 1.4467,                   2.01,               0.007954,               0.007954,               0.007954
                     34,                0.82915,                   1.23,                 1.3364,                0.42067,                0.62723,                0.51431,                0.34645,                 1.2186,                 1.2951,                 1.8219,               0.007888,               0.007888,               0.007888
                     35,                0.82326,                 1.2169,                 1.3236,                0.42296,                0.66442,                0.51602,                0.34845,                 1.2564,                 1.3112,                 1.8751,               0.007822,               0.007822,               0.007822
                     36,                0.82888,                 1.2231,                 1.3294,                0.41578,                 0.6373,                0.49741,                0.32538,                 1.2824,                  1.717,                  1.872,               0.007756,               0.007756,               0.007756
                     37,                0.81363,                 1.2018,                 1.3189,                0.41825,                0.63116,                  0.517,                0.35225,                  1.227,                 1.3271,                  1.852,                0.00769,                0.00769,                0.00769
                     38,                0.81031,                 1.1852,                 1.3186,                0.40339,                0.68129,                0.53908,                0.36888,                 1.2351,                 1.2158,                 1.8792,               0.007624,               0.007624,               0.007624
                     39,                0.81552,                 1.1889,                 1.3201,                0.43337,                0.64442,                0.52121,                0.35557,                 1.2729,                 1.2943,                 1.8885,               0.007558,               0.007558,               0.007558
                     40,                0.80219,                 1.1764,                 1.3083,                0.41488,                0.59096,                0.49831,                0.33966,                 1.2738,                  1.445,                 2.0194,               0.007492,               0.007492,               0.007492
                     41,                0.80015,                  1.166,                 1.3057,                 0.4132,                0.64896,                0.53038,                0.34677,                 1.2944,                 1.5042,                 1.9333,               0.007426,               0.007426,               0.007426
                     42,                0.79381,                 1.1498,                 1.2969,                0.45559,                0.62456,                0.54322,                0.37198,                 1.3244,                 1.4277,                 1.8994,                0.00736,                0.00736,                0.00736
                     43,                 0.7997,                  1.158,                 1.2982,                0.51745,                0.62699,                0.58461,                0.39721,                 1.2458,                 1.2629,                 1.9067,               0.007294,               0.007294,               0.007294
                     44,                0.79267,                  1.143,                 1.2912,                0.49465,                 0.6175,                0.58075,                0.39823,                 1.2486,                 1.2835,                 1.8069,               0.007228,               0.007228,               0.007228
                     45,                0.78642,                 1.1402,                 1.2893,                 0.4674,                0.65907,                0.55852,                0.38277,                 1.2498,                 1.4607,                 1.8645,               0.007162,               0.007162,               0.007162
                     46,                 0.8015,                  1.137,                 1.3052,                0.50993,                0.60993,                0.58276,                0.40059,                 1.2534,                 1.3944,                   1.91,               0.007096,               0.007096,               0.007096
                     47,                0.78119,                  1.124,                  1.288,                0.52576,                0.61579,                0.57552,                 0.3974,                 1.2125,                 1.3846,                 1.8947,                0.00703,                0.00703,                0.00703
                     48,                0.78538,                 1.1138,                 1.2869,                0.42618,                0.64611,                0.53918,                0.37214,                 1.2105,                 1.7373,                 1.8594,               0.006964,               0.006964,               0.006964
                     49,                0.78324,                 1.1013,                 1.2839,                0.48788,                 0.6598,                0.58316,                0.39291,                 1.2249,                 1.3032,                 1.8241,               0.006898,               0.006898,               0.006898
                     50,                0.78386,                 1.1143,                 1.2892,                0.48379,                  0.652,                0.56445,                0.37677,                 1.3165,                 1.5282,                 2.0036,               0.006832,               0.006832,               0.006832
                     51,                0.77605,                 1.0924,                 1.2758,                0.54165,                 0.6321,                0.61159,                0.42766,                 1.1765,                 1.2726,                 1.8028,               0.006766,               0.006766,               0.006766
