                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3097,                 4.1078,                 4.0427,                0.00112,                0.12464,                0.00143,                0.00039,                 2.7708,                 5.4195,                  4.002,               0.070492,              0.0032787,              0.0032787
                      2,                 3.0329,                   3.58,                 3.5385,                0.00324,                0.30281,                0.00291,                0.00072,                 2.8888,                 4.9613,                 3.7896,               0.040448,              0.0065684,              0.0065684
                      3,                 2.6235,                 3.1656,                 3.0464,                0.03727,                0.28446,                0.02632,                0.00595,                 2.7054,                 20.979,                  3.762,               0.010361,              0.0098141,              0.0098141
                      4,                 2.0973,                 2.8182,                 2.5577,                0.13517,                0.30822,                0.09658,                0.04467,                 2.0747,                 5.5861,                 3.2237,               0.009802,               0.009802,               0.009802
                      5,                 1.6883,                 2.3895,                 2.1854,                0.18845,                 0.5052,                0.18583,                0.09312,                 1.7878,                 3.6389,                 2.8311,               0.009802,               0.009802,               0.009802
                      6,                 1.3712,                 2.0471,                  1.885,                0.19107,                0.66516,                0.22447,                 0.1152,                 1.8333,                 2.5719,                 2.6696,               0.009736,               0.009736,               0.009736
                      7,                 1.2413,                 1.8797,                 1.7356,                0.19582,                0.77511,                0.23543,                0.13219,                 1.6508,                 2.4724,                 2.5749,                0.00967,                0.00967,                0.00967
                      8,                 1.1709,                 1.7932,                 1.6581,                0.20233,                0.79242,                 0.2202,                0.12935,                 1.5824,                 2.4062,                  2.458,               0.009604,               0.009604,               0.009604
                      9,                  1.114,                 1.7221,                  1.601,                0.20429,                0.81014,                0.24686,                0.14845,                 1.4947,                 2.2512,                 2.3001,               0.009538,               0.009538,               0.009538
                     10,                 1.0829,                 1.6721,                 1.5673,                0.20049,                0.74198,                0.26126,                 0.1542,                 1.4692,                 2.1118,                 2.2534,               0.009472,               0.009472,               0.009472
                     11,                 1.0622,                 1.6448,                 1.5545,                0.20014,                0.81658,                0.22705,                0.14745,                 1.3875,                 2.1095,                 2.1494,               0.009406,               0.009406,               0.009406
                     12,                 1.0329,                 1.6013,                 1.5271,                0.21401,                0.78036,                0.27197,                0.17304,                 1.3636,                 1.9704,                 2.1541,                0.00934,                0.00934,                0.00934
                     13,                 1.0062,                 1.5608,                  1.503,                0.24028,                0.70629,                0.29721,                0.19048,                  1.403,                 1.9908,                 2.1421,               0.009274,               0.009274,               0.009274
                     14,                0.99861,                 1.5497,                 1.4906,                0.21877,                0.75807,                0.26145,                0.17524,                 1.3056,                 2.3147,                 2.0304,               0.009208,               0.009208,               0.009208
                     15,                0.98194,                  1.518,                 1.4753,                0.27826,                0.59539,                0.31189,                0.19905,                 1.3633,                 1.8248,                 2.0692,               0.009142,               0.009142,               0.009142
                     16,                0.96906,                 1.4993,                 1.4685,                 0.2355,                0.76832,                0.31737,                0.20538,                  1.388,                  1.936,                 2.0429,               0.009076,               0.009076,               0.009076
                     17,                0.96221,                 1.4864,                 1.4538,                0.23629,                0.79453,                0.31045,                0.20657,                  1.338,                 1.9616,                 2.0233,                0.00901,                0.00901,                0.00901
                     18,                0.94845,                 1.4598,                 1.4342,                0.24529,                0.76595,                 0.3227,                0.21295,                 1.3875,                 1.9251,                 2.0311,               0.008944,               0.008944,               0.008944
                     19,                0.94314,                 1.4514,                 1.4399,                0.24886,                0.82121,                0.33902,                0.22929,                 1.3327,                 1.9613,                 1.9933,               0.008878,               0.008878,               0.008878
                     20,                0.92847,                  1.441,                 1.4135,                 0.2455,                0.74401,                0.31433,                 0.2114,                 1.3576,                 2.3595,                 2.0179,               0.008812,               0.008812,               0.008812
                     21,                0.92456,                 1.4257,                 1.4153,                0.26387,                0.76872,                0.33336,                0.22377,                   1.33,                 1.7587,                 2.0087,               0.008746,               0.008746,               0.008746
                     22,                0.92086,                 1.4157,                 1.4132,                0.28635,                0.75393,                 0.3827,                0.25094,                 1.3531,                 1.6528,                  2.064,                0.00868,                0.00868,                0.00868
                     23,                0.90977,                 1.4014,                 1.3981,                0.25577,                0.79678,                0.35597,                 0.2326,                 1.5304,                  1.731,                 2.1653,               0.008614,               0.008614,               0.008614
                     24,                0.91142,                 1.4005,                 1.4013,                0.27762,                0.75563,                0.38044,                0.25233,                 1.3621,                 1.6047,                 2.0612,               0.008548,               0.008548,               0.008548
                     25,                0.89867,                 1.3891,                 1.3866,                0.28786,                0.73029,                 0.3413,                0.22712,                 1.3882,                 2.0076,                  2.061,               0.008482,               0.008482,               0.008482
                     26,                0.89302,                 1.3756,                 1.3808,                0.30945,                0.76582,                0.41126,                 0.2737,                 1.2872,                 1.4602,                 2.0138,               0.008416,               0.008416,               0.008416
                     27,                0.89718,                 1.3613,                 1.3809,                0.28855,                0.76531,                0.37694,                0.25178,                 1.3256,                 1.5977,                 2.0589,                0.00835,                0.00835,                0.00835
                     28,                0.88628,                 1.3611,                 1.3742,                0.29686,                0.76442,                0.40624,                0.26679,                 1.3345,                 1.5536,                 1.9655,               0.008284,               0.008284,               0.008284
                     29,                0.88819,                 1.3554,                 1.3723,                0.30571,                0.71501,                0.37741,                0.25558,                 1.3047,                 1.7665,                 1.9633,               0.008218,               0.008218,               0.008218
                     30,                0.87779,                 1.3414,                 1.3606,                0.31429,                0.70202,                0.39448,                0.26498,                 1.2913,                 1.5904,                  1.998,               0.008152,               0.008152,               0.008152
                     31,                0.87001,                 1.3352,                 1.3523,                0.28822,                0.73038,                 0.3719,                0.25288,                 1.3258,                 1.7652,                 1.9428,               0.008086,               0.008086,               0.008086
                     32,                0.88318,                 1.3376,                 1.3564,                0.36751,                0.67643,                0.42207,                0.28507,                 1.2616,                 1.4576,                 1.8826,                0.00802,                0.00802,                0.00802
                     33,                0.86056,                 1.3148,                 1.3424,                0.28902,                0.65484,                0.36357,                0.24765,                 1.3039,                 1.8412,                  1.964,               0.007954,               0.007954,               0.007954
                     34,                0.86663,                 1.3114,                 1.3527,                0.31123,                0.76284,                0.40136,                0.26974,                 1.2957,                 1.4842,                 1.9195,               0.007888,               0.007888,               0.007888
                     35,                0.85904,                 1.2992,                 1.3391,                0.34892,                0.70085,                0.43761,                0.29156,                 1.2718,                 1.4337,                 1.8836,               0.007822,               0.007822,               0.007822
                     36,                0.85519,                 1.3098,                 1.3416,                 0.3782,                0.63549,                0.44848,                0.30378,                 1.2745,                 1.4626,                 1.8994,               0.007756,               0.007756,               0.007756
                     37,                0.84819,                 1.2917,                  1.332,                 0.3386,                0.63145,                0.39893,                0.26961,                 1.2461,                  1.551,                 1.9152,                0.00769,                0.00769,                0.00769
                     38,                0.84646,                 1.2755,                 1.3363,                0.34861,                0.64999,                0.44841,                0.30556,                 1.3058,                 1.5019,                 1.9291,               0.007624,               0.007624,               0.007624
                     39,                0.84963,                  1.277,                 1.3314,                0.33285,                0.67011,                0.43128,                0.29404,                 1.2816,                 1.4418,                  1.906,               0.007558,               0.007558,               0.007558
                     40,                0.83767,                 1.2669,                 1.3194,                0.37828,                0.59784,                0.44867,                0.30914,                 1.2486,                 1.6036,                 1.8816,               0.007492,               0.007492,               0.007492
                     41,                0.83634,                 1.2611,                 1.3181,                0.38988,                0.65313,                 0.4817,                0.32425,                 1.2783,                 1.5298,                 1.9439,               0.007426,               0.007426,               0.007426
                     42,                0.83039,                 1.2469,                 1.3118,                0.36466,                0.67362,                0.46693,                0.31744,                 1.3154,                 1.4856,                 1.9182,                0.00736,                0.00736,                0.00736
                     43,                0.83988,                 1.2485,                 1.3147,                0.46049,                0.57972,                0.52508,                 0.3584,                 1.2607,                 1.3064,                 1.8655,               0.007294,               0.007294,               0.007294
                     44,                0.82971,                 1.2407,                 1.3014,                0.41443,                0.62674,                0.51458,                0.35508,                 1.2924,                 1.3306,                 1.8611,               0.007228,               0.007228,               0.007228
                     45,                0.82219,                 1.2322,                 1.3016,                0.43853,                0.63945,                0.51023,                0.35214,                 1.3053,                  1.473,                 1.9283,               0.007162,               0.007162,               0.007162
                     46,                0.83707,                  1.231,                 1.3166,                0.41693,                0.58943,                0.48854,                0.33924,                  1.286,                 1.4753,                  1.906,               0.007096,               0.007096,               0.007096
                     47,                0.82039,                 1.2215,                  1.301,                0.44993,                0.61598,                0.52785,                0.35715,                 1.2778,                 1.4088,                 1.8932,                0.00703,                0.00703,                0.00703
                     48,                0.82227,                 1.2072,                 1.2946,                0.39303,                0.63057,                0.47166,                0.32732,                 1.2529,                 1.6301,                 1.8355,               0.006964,               0.006964,               0.006964
                     49,                0.81868,                 1.1949,                 1.2947,                0.42794,                0.64818,                0.49571,                 0.3363,                 1.2484,                 1.5339,                 1.8758,               0.006898,               0.006898,               0.006898
                     50,                0.82253,                 1.2083,                 1.3001,                0.42689,                0.64027,                0.53775,                0.36788,                 1.2367,                 1.3504,                 1.8894,               0.006832,               0.006832,               0.006832
                     51,                0.81658,                 1.1864,                 1.2884,                0.43473,                0.60848,                0.54218,                0.37712,                 1.2579,                 1.2998,                 1.9001,               0.006766,               0.006766,               0.006766
                     52,                0.81827,                 1.1813,                 1.2898,                0.44906,                0.60376,                0.54522,                0.37422,                 1.2574,                 1.2714,                 1.9441,                 0.0067,                 0.0067,                 0.0067
                     53,                0.79945,                 1.1787,                 1.2806,                0.44784,                0.63608,                0.51767,                0.35621,                 1.2896,                 1.4488,                 1.9895,               0.006634,               0.006634,               0.006634
                     54,                0.80921,                 1.1726,                 1.2817,                 0.4455,                0.62327,                0.51421,                0.35405,                 1.2438,                  1.691,                 1.9021,               0.006568,               0.006568,               0.006568
                     55,                0.81251,                 1.1706,                 1.2841,                0.45687,                0.61222,                0.51993,                0.35861,                 1.2588,                 1.4695,                 1.8464,               0.006502,               0.006502,               0.006502
                     56,                0.80667,                 1.1638,                 1.2729,                0.45983,                0.64628,                0.53995,                0.36798,                 1.2443,                 1.5354,                 1.8543,               0.006436,               0.006436,               0.006436
                     57,                0.79711,                 1.1505,                 1.2718,                0.46957,                 0.6303,                0.57193,                0.38241,                 1.2315,                 1.2312,                 1.8296,                0.00637,                0.00637,                0.00637
                     58,                0.80234,                 1.1497,                 1.2726,                0.47829,                 0.5877,                0.55594,                0.37962,                 1.2438,                 1.3595,                 1.8803,               0.006304,               0.006304,               0.006304
                     59,                0.79099,                 1.1439,                 1.2668,                0.45335,                0.65502,                0.56228,                0.39051,                 1.2602,                 1.2987,                 1.8577,               0.006238,               0.006238,               0.006238
                     60,                0.80316,                  1.143,                 1.2739,                0.43129,                0.66368,                0.56308,                0.38989,                 1.2104,                 1.3554,                 1.7983,               0.006172,               0.006172,               0.006172
                     61,                0.79277,                 1.1303,                 1.2643,                0.47995,                0.66019,                0.59046,                 0.4081,                 1.2209,                 1.2276,                 1.8492,               0.006106,               0.006106,               0.006106
                     62,                0.78291,                 1.1218,                  1.257,                0.42466,                0.63324,                0.51944,                0.36475,                  1.256,                 1.4241,                 1.9137,                0.00604,                0.00604,                0.00604
                     63,                0.79018,                 1.1238,                  1.264,                0.52975,                0.63158,                0.58827,                0.40136,                 1.2266,                 1.2846,                  1.812,               0.005974,               0.005974,               0.005974
                     64,                0.78752,                 1.1172,                  1.258,                0.47981,                0.60673,                0.56602,                0.38828,                 1.2346,                 1.4183,                 1.9014,               0.005908,               0.005908,               0.005908
                     65,                0.78077,                 1.1064,                 1.2566,                0.46966,                0.64885,                0.55679,                 0.3902,                 1.2159,                 1.6681,                 1.8051,               0.005842,               0.005842,               0.005842
                     66,                0.78315,                 1.1131,                 1.2566,                0.49324,                0.62218,                0.58231,                0.40918,                 1.2211,                 1.4487,                 1.8215,               0.005776,               0.005776,               0.005776
                     67,                0.77715,                 1.0996,                 1.2506,                0.52337,                0.64619,                0.62271,                0.42643,                  1.225,                 1.1757,                 1.9231,                0.00571,                0.00571,                0.00571
                     68,                0.78205,                 1.1039,                  1.249,                0.50001,                0.63594,                0.56069,                 0.3909,                 1.2156,                 1.4358,                 1.8391,               0.005644,               0.005644,               0.005644
                     69,                0.77228,                 1.0896,                  1.245,                0.53818,                0.65433,                0.61862,                0.42652,                 1.2058,                  1.208,                 1.7884,               0.005578,               0.005578,               0.005578
                     70,                0.77616,                  1.094,                 1.2537,                0.45556,                 0.6399,                0.53872,                0.37663,                 1.2357,                 1.7776,                 1.9192,               0.005512,               0.005512,               0.005512
                     71,                0.76503,                 1.0872,                 1.2389,                0.55624,                0.62443,                0.63224,                0.43508,                 1.2096,                 1.2479,                 1.8077,               0.005446,               0.005446,               0.005446
                     72,                0.76678,                 1.0872,                 1.2386,                0.49581,                0.64949,                0.60867,                0.42388,                 1.2088,                 1.1585,                 1.7968,                0.00538,                0.00538,                0.00538
                     73,                0.76008,                 1.0633,                 1.2324,                0.52028,                0.62487,                0.60132,                0.41244,                 1.2417,                  1.263,                 1.9265,               0.005314,               0.005314,               0.005314
                     74,                 0.7682,                  1.067,                 1.2377,                0.56569,                0.62583,                0.63338,                 0.4324,                 1.2126,                 1.1848,                 1.8225,               0.005248,               0.005248,               0.005248
                     75,                0.75994,                 1.0541,                 1.2356,                0.53022,                0.65052,                0.60005,                0.41447,                 1.2525,                 1.3774,                 1.9191,               0.005182,               0.005182,               0.005182
                     76,                0.76302,                  1.063,                 1.2343,                0.50081,                0.70904,                0.63278,                0.43936,                 1.2508,                 1.2028,                 1.8618,               0.005116,               0.005116,               0.005116
                     77,                0.76362,                 1.0522,                 1.2341,                0.50962,                0.70637,                0.62727,                0.43411,                 1.2071,                 1.1755,                 1.8395,                0.00505,                0.00505,                0.00505
                     78,                0.75873,                 1.0556,                 1.2297,                0.52234,                0.63098,                0.59598,                0.41321,                 1.2631,                 1.2923,                 1.9646,               0.004984,               0.004984,               0.004984
                     79,                0.74757,                 1.0419,                  1.226,                0.55259,                0.67897,                0.65271,                0.44726,                 1.2408,                  1.163,                  1.966,               0.004918,               0.004918,               0.004918
                     80,                  0.756,                 1.0426,                  1.233,                0.53947,                0.68068,                0.63701,                0.44178,                  1.197,                 1.3259,                 1.8115,               0.004852,               0.004852,               0.004852
                     81,                0.74532,                 1.0497,                 1.2216,                0.54335,                0.62753,                0.61137,                0.42394,                 1.2274,                 1.2663,                 1.9201,               0.004786,               0.004786,               0.004786
                     82,                0.74964,                 1.0348,                 1.2214,                0.60355,                0.62809,                0.65006,                0.44458,                 1.2382,                 1.1833,                 1.8706,                0.00472,                0.00472,                0.00472
                     83,                0.75127,                 1.0337,                 1.2199,                0.52723,                0.68274,                0.61179,                0.41735,                 1.2667,                  1.398,                 1.8707,               0.004654,               0.004654,               0.004654
                     84,                0.74699,                 1.0368,                 1.2173,                0.58231,                0.64209,                0.64893,                0.45215,                 1.1984,                 1.0831,                 1.7993,               0.004588,               0.004588,               0.004588
                     85,                0.74514,                 1.0331,                 1.2126,                0.56167,                0.63552,                0.63259,                0.42462,                  1.291,                 1.1954,                  1.909,               0.004522,               0.004522,               0.004522
                     86,                0.73697,                 1.0173,                 1.2131,                0.55748,                0.67908,                0.65537,                0.45784,                 1.2455,                  1.108,                 1.9022,               0.004456,               0.004456,               0.004456
                     87,                0.73448,                 1.0055,                 1.2079,                0.52397,                0.73323,                0.64918,                0.45685,                 1.2003,                 1.1012,                 1.8879,                0.00439,                0.00439,                0.00439
                     88,                0.74069,                 1.0164,                 1.2138,                0.55293,                0.68656,                0.64495,                0.44872,                  1.222,                 1.1166,                 1.8256,               0.004324,               0.004324,               0.004324
                     89,                0.73519,                 1.0108,                 1.2062,                0.51617,                0.71506,                0.64181,                0.44502,                 1.2362,                 1.1897,                 1.8959,               0.004258,               0.004258,               0.004258
                     90,                0.74316,                 1.0129,                  1.207,                0.55952,                0.67072,                0.62785,                0.43403,                 1.2075,                 1.2012,                 1.8806,               0.004192,               0.004192,               0.004192
                     91,                 0.7347,                 1.0064,                 1.2042,                0.55476,                 0.7078,                0.64714,                0.44857,                 1.2422,                 1.1731,                 1.9185,               0.004126,               0.004126,               0.004126
                     92,                0.73133,                0.99501,                 1.2042,                0.56683,                0.67594,                0.64077,                0.45367,                 1.1993,                 1.3765,                 1.8519,                0.00406,                0.00406,                0.00406
                     93,                0.72902,                0.98415,                 1.2065,                0.56779,                0.67475,                 0.6645,                0.46196,                 1.2211,                 1.1557,                 1.8318,               0.003994,               0.003994,               0.003994
                     94,                0.72984,                0.99483,                 1.2047,                0.58384,                0.67624,                 0.6612,                0.46725,                   1.19,                 1.0626,                 1.7837,               0.003928,               0.003928,               0.003928
                     95,                0.72734,                0.98378,                 1.1969,                 0.5824,                0.66872,                 0.6713,                0.46842,                 1.2039,                 1.0559,                 1.8067,               0.003862,               0.003862,               0.003862
                     96,                0.72431,                0.98649,                 1.2013,                0.59226,                0.65973,                0.66508,                0.46455,                 1.1972,                 1.1987,                 1.8263,               0.003796,               0.003796,               0.003796
                     97,                0.71871,                 0.9752,                 1.1906,                0.55111,                0.67986,                0.65233,                0.46305,                 1.2427,                 1.2097,                 1.9459,                0.00373,                0.00373,                0.00373
                     98,                0.72628,                0.98495,                 1.1976,                0.53128,                0.69311,                0.65623,                0.44699,                 1.2276,                 1.1878,                 1.8453,               0.003664,               0.003664,               0.003664
                     99,                0.72942,                  0.981,                 1.1941,                0.58781,                0.63827,                 0.6581,                0.46466,                 1.1975,                 1.1353,                 1.8058,               0.003598,               0.003598,               0.003598
                    100,                0.71538,                0.95657,                 1.1858,                0.61568,                0.63567,                  0.649,                0.45789,                 1.2282,                 1.1519,                 1.9142,               0.003532,               0.003532,               0.003532
